timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"Jul 7, 2025 @ 16:15:09.964,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:15:09.919,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 16:10:14.818,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:10:14.814,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 16:10:14.802,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:48:07.268,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 14:48:07.239,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 14:48:07.210,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""added"",""File added to the system."",""5"",""554"""
"Jul 7, 2025 @ 14:47:49.484,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:47:49.480,""Win11"",""c:\data_korban_simulasi\rencana_proyek.pdf"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:47:49.473,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:47:49.460,""Win11"",""c:\data_korban_simulasi\dokumen_keuangan.txt"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:47:49.454,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx.locked"",""deleted"",""File deleted."",""7"",""553"""
"Jul 7, 2025 @ 14:47:49.424,""Win11"",""c:\data_korban_simulasi\data_karyawan.docx"",""deleted"",""File deleted."",""7"",""553"""
